Nom;Prénom;Né(e) le;Prénom d'usage;Sexe;Classe;Projet d'accompagnement;Allergies;Majeur;Formation
MARTIN;Sophie;13/04/2012;;F;CM2C;;;;08.CM2
DURAND;Antoine;04/07/2012;;G;CM2C;;;;08.CM2
BERNARD;Lucie;07/11/2012;;F;CM2C;;;;08.CM2
THOMAS;Lucas;09/08/2011;;G;CM2C;;;;08.CM2
ROBERT;Emma;18/06/2012;;F;CM2C;;;;08.CM2
RICHARD;Clara;12/01/2012;;F;CM2C;;;;08.CM2
DUPONT;Nathan;06/03/2012;;G;CM2C;PPRE;;;08.CM2
GARCIA;Léa;10/10/2012;;F;CM2C;;;;08.CM2
MARTINEZ;Hugo;17/11/2012;;G;CM2C;;;;08.CM2
LOPEZ;Chloé;16/09/2012;;F;CM2C;;;;08.CM2
ANDERSEN;Noé;11/01/2012;;G;CM2C;;;;08.CM2
BERGMAN;Zoé;02/11/2012;;F;CM2C;;;;08.CM2
FONTAINE;Julien;06/09/2012;;G;CM2C;;;;08.CM2
MERCIER;Camille;05/11/2012;;F;CM2C;;;;08.CM2
DUBOIS;Théo;16/03/2012;;G;CM2C;;;;08.CM2
LEBLANC;Marie;31/10/2012;;F;CM2C;;;;08.CM2
DE LA FONTAINE;Gabriel;12/12/2011;;G;CM2C;;;;08.CM2
PETIT;Louise;21/11/2012;;F;CM2C;;;;08.CM2
D'ARCY;Pierre;25/05/2012;;G;CM2C;;;;08.CM2
BONNEL-ROUSSEAU;Inès;19/05/2012;;F;CM2C;;;;08.CM2
RENARD;Alice;15/11/2012;;F;CM2C;;;;08.CM2
VINCENT;Jean Paul Michel;04/01/2012;;G;CM2C;;;;08.CM2
LEFEVRE;Mathéo;28/12/2012;;G;CM2C;;;;08.CM2
